Timestamp,CPU Usage (%),Memory Usage (%)
2025-04-15 12:41:38,27.4,94.2
2025-04-15 12:41:44,18.5,93.4
2025-04-15 12:41:50,16.2,94.1
2025-04-15 12:41:56,11.3,93.8
2025-04-15 12:42:02,13.0,94.3
2025-04-15 12:42:08,23.3,94.6
2025-04-15 12:42:14,12.5,93.7
2025-04-15 12:42:20,39.7,89.7
2025-04-15 12:42:26,15.2,87.0
2025-04-15 12:46:44,20.5,95.5
2025-04-15 12:46:50,10.3,94.5
2025-04-15 12:46:56,22.5,95.1
2025-04-15 12:47:02,13.6,92.8
2025-04-15 12:47:08,21.4,93.5
2025-04-15 12:47:14,11.5,94.0
2025-04-15 12:47:20,23.8,91.8
2025-04-15 12:47:26,24.7,88.6
2025-04-15 12:47:32,20.8,89.1
2025-04-15 12:47:38,19.1,89.6
2025-04-15 12:47:44,21.4,90.3
2025-04-15 12:47:50,11.8,90.1
2025-04-15 12:47:56,13.3,88.6
2025-04-15 12:48:02,15.8,88.2
2025-04-15 12:48:08,8.4,88.6
2025-04-15 12:48:14,12.5,88.5
2025-04-15 12:48:20,18.2,87.9
2025-04-15 12:48:26,12.1,87.9
2025-04-15 12:48:32,14.8,93.2
2025-04-15 12:48:38,13.6,92.0
2025-04-15 12:48:44,16.3,92.2
2025-04-15 12:48:50,14.4,92.6
2025-04-15 12:48:56,12.1,92.9
2025-04-15 12:49:02,11.3,92.5
2025-04-15 12:49:08,12.6,92.0
2025-04-15 12:49:14,13.6,92.2
2025-04-15 12:49:20,13.2,92.3
2025-04-15 12:49:26,11.7,92.4
2025-04-15 12:49:33,12.9,92.5
